source,target,oneway,access,width,length,maxspeed,name,lanes,highway,junction,geometry,tunnel,osmid,bridge,ref,area
31993385,51207548,False,,,75.16499999999999,50,Brüsseler Straße,3,tertiary,,"LINESTRING (11.6192897 50.8775931, 11.6195772 50.8777358, 11.6197345 50.8777981, 11.619926 50.8778567, 11.6202233 50.8779049)",,159220658,,,
31995360,31995366,False,,,81.049,50,Im Semmicht,2,unclassified,,,,27606892,,,
31995360,303140639,False,,,108.295,,,,unclassified,,,,27606942,,,
31995360,1468410624,False,,,86.168,50,Im Semmicht,2,unclassified,,"LINESTRING (11.5952412 50.862382, 11.5955635 50.8623914, 11.5960202 50.8623728, 11.5961893 50.8623677, 11.5964668 50.8623558)",,27606892,,,
31995366,31995360,False,,,81.049,50,Im Semmicht,2,unclassified,,,,27606892,,,
31995366,252102088,False,,,34.166,50,Im Semmicht,2,unclassified,,,,317663871,,,
31995366,1468410624,False,,,590.0919999999999,,An der Lehmgrube,2,unclassified,,"LINESTRING (11.5940962 50.8622873, 11.5940108 50.8626089, 11.5939685 50.8627683, 11.593927 50.8629245, 11.5939059 50.8630039, 11.5938751 50.8631098, 11.5937277 50.8636749, 11.5937277 50.8637691, 11.5937673 50.8638633, 11.5938435 50.8639344, 11.5939409 50.8639805, 11.5946289 50.8641674, 11.5949837 50.8642513, 11.5956888 50.864418, 11.5957892 50.8644418, 11.595978 50.8644475, 11.5960998 50.8644168, 11.5962003 50.8643284, 11.5963138 50.8635834, 11.5964351 50.8626188, 11.5964668 50.8623558)",,192462953,,,
31995540,31995620,False,,,92.941,30,Alter Handelsweg,2,unclassified,,"LINESTRING (11.6003413 50.8664572, 11.6000984 50.8671238, 11.6000537 50.867273)",,4903771,,,
31995540,1468410627,False,,,492.83,,Im Steinfeld,2,unclassified,,"LINESTRING (11.6003413 50.8664572, 11.5993853 50.866345, 11.5992687 50.8662954, 11.5992104 50.8662112, 11.5992093 50.8661227, 11.5992539 50.8658321, 11.5992699 50.8657283, 11.5993682 50.8653343, 11.5994861 50.8648314, 11.5994988 50.8646248, 11.5995227 50.8642372, 11.5995282 50.8641475, 11.5995206 50.8640669, 11.5994889 50.8637304, 11.5994729 50.8635602, 11.5994759 50.8634913, 11.5994861 50.8632556, 11.5995621 50.8629675, 11.5996754 50.8625981)",,25002161,,,
31995540,2099818856,False,,,717.9939999999998,50,Am Naßtal,2,unclassified,,"LINESTRING (11.6003413 50.8664572, 11.6016806 50.8666095, 11.6019411 50.8666289, 11.6021232 50.8666279, 11.6022656 50.8666215, 11.6024327 50.8665952, 11.6025584 50.866561, 11.6026154 50.8665366, 11.6027157 50.8664421, 11.6027267 50.8663925, 11.6027166 50.8663306, 11.6026947 50.8662841, 11.6025251 50.8660731, 11.6024066 50.8658742, 11.6023778 50.8657555, 11.6023783 50.865711, 11.6024168 50.8652543, 11.6024548 50.8650826, 11.6024669 50.8650281, 11.6025443 50.8645278, 11.6026037 50.8641434, 11.6026225 50.8640219, 11.6026527 50.8637788, 11.6026663 50.8635675, 11.6026298 50.863427, 11.602536 50.8633006, 11.6024396 50.8631823, 11.6022844 50.8630686, 11.602125 50.8629884, 11.6019158 50.8629284, 11.6014473 50.8628509, 11.6010579 50.8627959, 11.6002071 50.8626662)",,"[199998360, 320095652, 320095653]",,,
31995620,31993078,False,,,31.139,30,Alter Handelsweg,2,unclassified,,"LINESTRING (11.6000537 50.867273, 11.6000135 50.8674352, 11.6000046 50.8675017, 11.5999581 50.8675411)",,4903771,,,
31995620,31995540,False,,,92.941,30,Alter Handelsweg,2,unclassified,,"LINESTRING (11.6000537 50.867273, 11.6000984 50.8671238, 11.6003413 50.8664572)",,4903771,,,
31995620,287129468,False,,,299.464,,Alter Handelsweg,1,residential,,"LINESTRING (11.6000537 50.867273, 11.6034285 50.8677019, 11.6034696 50.8677535, 11.6033907 50.868156, 11.6033717 50.8682119)",,"[170707134, 26222519]",yes,,
31996209,851562012,True,,14,1654.5909999999997,"['80', 'none']",Lobdeburgtunnel,4,motorway,,"LINESTRING (11.5951195 50.8724352, 11.5963393 50.8731186, 11.5975144 50.8737724, 11.5980464 50.8740684, 11.6000448 50.8751647, 11.6042598 50.877477, 11.6044375 50.8775689, 11.6045446 50.8776243, 11.6049642 50.8778489, 11.6061188 50.8784669, 11.6066883 50.8787596, 11.6073852 50.8790937, 11.607925 50.8793171, 11.6079511 50.8793279, 11.6086159 50.8795813, 11.609276 50.879782, 11.6097987 50.8799117, 11.6104207 50.8800379, 11.61111 50.880151, 11.6117511 50.8802466, 11.6118285 50.880254, 11.6123042 50.8802961, 11.6127258 50.8803186, 11.6132196 50.8803328, 11.6138257 50.8803299, 11.6143704 50.8803149)",yes,"[25729953, 71594531, 150555942, 51939984, 263642736, 150555931, 263642739, 670243547]",yes,A 4,
32125579,1905241330,False,,,90.89,30,Hauptstraße,2,secondary,,"LINESTRING (11.5222307 50.96088, 11.522398 50.9610725, 11.5225185 50.9612251, 11.5226083 50.9613388, 11.5226815 50.9614826, 11.5226805 50.9616321)",,35303942,,L 1060,
32125579,1633001138,False,,,62.212,30,Hauptstraße,2,secondary,,"LINESTRING (11.5222307 50.96088, 11.5220148 50.9606918, 11.5219274 50.9606175, 11.5218133 50.960572, 11.5216977 50.9605482, 11.5215818 50.9605432)",,35303942,,L 1060,
32125579,301508632,False,,,84.765,,Am Rasen,,residential,,"LINESTRING (11.5222307 50.96088, 11.5225611 50.9607588, 11.5232766 50.9604964)",,38562797,,,
32125579,457496568,False,,,96.391,,Hauptstraße,,residential,,"LINESTRING (11.5222307 50.96088, 11.5220538 50.9608519, 11.5218972 50.9608456, 11.5214717 50.9608018, 11.5212159 50.9607754, 11.5208698 50.9607638)",,150208148,,,
32125585,361447052,False,,,167.40499999999997,30,St.-Florian-Weg,,residential,,"LINESTRING (11.5224511 50.9625319, 11.5225648 50.9625428, 11.5226757 50.9625317, 11.5229693 50.9623783, 11.5230223 50.9623467, 11.5235965 50.9620072, 11.5237259 50.9619268, 11.5237803 50.9618704, 11.5237729 50.9618459, 11.5233827 50.9615631)",,32230942,,,
32125585,3232100614,False,,,966.3340000000001,"['50', '70']",Hauptstraße,"['2', '3']",secondary,,"LINESTRING (11.5224511 50.9625319, 11.5224299 50.9626395, 11.5223537 50.9629319, 11.5223144 50.9631096, 11.5222961 50.9632355, 11.5222803 50.963505, 11.522288 50.9637262, 11.5223126 50.9639476, 11.5223278 50.9640381, 11.5223738 50.9643117, 11.5225288 50.9646027, 11.5228221 50.9648859, 11.5236587 50.9655896, 11.5239407 50.9658852, 11.52411 50.9661182, 11.5242147 50.9663163, 11.5242538 50.9664815, 11.5242679 50.9666593, 11.5242283 50.966869, 11.5234735 50.9693333, 11.5231191 50.9705688, 11.5231117 50.9705991, 11.5231046 50.9706285, 11.5230775 50.9707348, 11.5230539 50.9708107)",,"[79701286, 664425676, 28279665, 317005330, 317005331, 317005334]",,L 1060,
32125585,1905241330,False,,,101.35099999999998,30,Hauptstraße,2,secondary,,"LINESTRING (11.5224511 50.9625319, 11.5225258 50.962197, 11.5225804 50.9620087, 11.5226266 50.9618494, 11.5226372 50.9618066, 11.5226805 50.9616321)",,259630997,,L 1060,
32127618,2782061062,False,,,303.547,50,Bürgelsche Straße,2,primary,,"LINESTRING (11.6580601 50.9320018, 11.6571352 50.9320388, 11.6562356 50.9320785, 11.6558421 50.9321511, 11.6554477 50.9322779, 11.6551401 50.9324374, 11.6551039 50.9324562, 11.6548118 50.9326095, 11.6544548 50.9327987, 11.6541806 50.9329441)",,26751812,,B 7,
32127618,304335455,False,,,31.727,50,Bürgelsche Straße,2,primary,,"LINESTRING (11.6580601 50.9320018, 11.6582038 50.9320033, 11.6585121 50.9320165)",,26751812,,B 7,
32127618,286742225,False,,,72.763,,Hinter der Linde,,residential,,"LINESTRING (11.6580601 50.9320018, 11.6579874 50.9318299, 11.6579939 50.9317742, 11.6580234 50.9315439, 11.6580479 50.9313962, 11.6580516 50.9313552)",,"[26185960, 463132834, 907360739, 907360740]",yes,,
32127691,262160203,False,,,52.593,50,Leutragraben,"['2', '3']",secondary,,"LINESTRING (11.5838965 50.930185, 11.5838888 50.9300992, 11.5838284 50.9299676, 11.5837102 50.9298052, 11.5836897 50.929735)",,"[313579250, 25113077]",,,
32127691,1833464371,False,,,56.661,50,Fürstengraben,3,primary,,"LINESTRING (11.5838965 50.930185, 11.5842185 50.9301782, 11.5844011 50.930174, 11.5847043 50.9301644)",,"[167167868, 172441558]",,B 7,
32127691,291499661,False,,,46.819,50,Straße des 17. Juni,2,primary,,"LINESTRING (11.5838965 50.930185, 11.5836339 50.9301975, 11.5833953 50.9302178, 11.5832348 50.9302389)",,"[32543515, 313579260]",,B 7,
32127701,2158803324,True,,,40.669,,Erfurter Straße,1,tertiary,,"LINESTRING (11.5706276 50.9335416, 11.5707959 50.9334057, 11.5709743 50.9332484)",,"[205891618, 23326806]",,,
32127701,2158803339,False,,,29.295999999999996,50,Humboldtstraße,2,primary,,"LINESTRING (11.5706276 50.9335416, 11.5707649 50.9335149, 11.5708601 50.9334988, 11.5709902 50.9334768, 11.5710299 50.9334701)",,"[40770717, 116902462]",,B 7,
32127701,265784298,False,,,48.327999999999996,50,Erfurter Straße,"['2', '3']",primary,,"LINESTRING (11.5706276 50.9335416, 11.5701469 50.9336352, 11.5699698 50.9336721)",,"[40771529, 145663047]",,B 7,
32127714,49319083,False,,,46.86800000000001,,Über dem Grund,2,tertiary,,"LINESTRING (11.5490205 50.939407, 11.5489955 50.9393267, 11.548971 50.9392572, 11.5489131 50.9391098, 11.5488809 50.9390607, 11.5488425 50.939002)",,"[34112986, 34112996, 369888870]",yes,K 6,
32127714,49315173,False,,,225.78400000000002,70,,2,primary,,"LINESTRING (11.5490205 50.939407, 11.5482045 50.9395325, 11.547914 50.9395888, 11.5475867 50.9396584, 11.5472924 50.939755, 11.5470656 50.9398468, 11.5462244 50.9403238)",,35067174,,B 7,
32127714,2606267957,False,,,723.197,"['50', '70']",Erfurter Straße,"['2', '3']",primary,,"LINESTRING (11.5490205 50.939407, 11.5492639 50.9393677, 11.5496027 50.9393262, 11.5499526 50.9393, 11.5501616 50.9392968, 11.5504887 50.9392884, 11.5517363 50.9392943, 11.5533444 50.9392769, 11.5535584 50.9392541, 11.5538682 50.9392015, 11.5541043 50.9391475, 11.5543339 50.9390737, 11.5545685 50.9389791, 11.5548555 50.9388385, 11.5550601 50.9387008, 11.5552744 50.9385354, 11.5554643 50.9383885, 11.5555948 50.9382905, 11.5556895 50.9382262, 11.5557769 50.9381698, 11.5558699 50.9381134, 11.5559718 50.9380582, 11.5561578 50.937967, 11.5570164 50.9375777, 11.5572279 50.9374775, 11.5574111 50.9373908, 11.5575221 50.9373382, 11.5576566 50.9372824, 11.5581018 50.9370962)",,"[36334784, 369888867, 35067172, 35067973, 35067972, 24220551]",,B 7,
32127760,2625121180,True,,,33.065,70,,1,primary,,"LINESTRING (11.5070997 50.9603542, 11.5073925 50.9603543, 11.507445 50.9603501, 11.5074974 50.9603425, 11.507566 50.9603275)",,215845224,,B 7,
32127783,84524852,False,,,11.677,50,Am Anger,4,primary,,,,10213292,,B 88,
32127783,1830624292,True,,,192.82400000000004,50,Wiesenstraße,"['2', '1']",primary,,"LINESTRING (11.5927789 50.9303592, 11.5930279 50.930461, 11.5930599 50.9304741, 11.5934698 50.9306618, 11.5938215 50.9308308, 11.5941147 50.9309701, 11.5942636 50.9310417, 11.5944031 50.9311132, 11.5944831 50.9311635, 11.5945467 50.931214, 11.5945921 50.9312688, 11.5946252 50.9313282, 11.5946399 50.9313955, 11.5946414 50.9314551, 11.5946283 50.9315288)",,"[783868408, 26631345, 245671698]",,B 7,
32127783,672780455,False,,,47.538,50,Am Anger,4,primary,,"LINESTRING (11.5927789 50.9303592, 11.5929104 50.9302332, 11.5929337 50.9302078, 11.5931162 50.9299888)",,245671692,,B 88,
32463724,1830611294,False,,,132.43,,Schlachthofstraße,1,residential,,"LINESTRING (11.5970519 50.9369293, 11.5968432 50.9370576, 11.5966025 50.9371909, 11.5959389 50.9375585, 11.5957329 50.9376729, 11.5956423 50.9377223)",,26491541,,,
32463724,2369222595,False,,,366.60799999999995,50,Wiesenstraße,"['2', '3']",primary,,"LINESTRING (11.5970519 50.9369293, 11.5965762 50.9367508, 11.5962415 50.9365819, 11.5959378 50.9363907, 11.5956171 50.9361598, 11.5950811 50.9356881, 11.594809 50.9354798, 11.5946038 50.9353102, 11.5941585 50.9350027, 11.5939912 50.9348202, 11.5939041 50.9346839, 11.5938403 50.9345755, 11.5937993 50.9345023, 11.5937724 50.9344344)",,"[256888988, 361066594, 188456878, 253727630]",,B 7,
32463724,1830611283,False,,,63.027,50,Wiesenstraße,3,primary,,"LINESTRING (11.5970519 50.9369293, 11.5973192 50.9370101, 11.5975864 50.9370908, 11.5978626 50.9371748)",,"[775206138, 215643708]",,B 7,
32463783,1855280372,False,,,82.419,50,Knebelstraße,2,secondary,,"LINESTRING (11.5853057 50.9245297, 11.5850736 50.924419, 11.5849717 50.9243763, 11.5844323 50.9241744, 11.5843163 50.9241307)",,35778737,,,
32463783,279922198,False,,,91.767,50,Knebelstraße,2,secondary,,"LINESTRING (11.5853057 50.9245297, 11.5855807 50.9246537, 11.5860264 50.9248125, 11.5862943 50.9249032, 11.586435 50.9249443)",,"[35778737, 35778738, 35112622]",,,
32463787,9103468769,False,,,107.49799999999999,50,Vor dem Neutor,2,secondary,,"LINESTRING (11.5838141 50.9239347, 11.583711 50.923874, 11.583616 50.9238047, 11.5835746 50.923769, 11.5835176 50.9237124, 11.5834632 50.9236468, 11.5831972 50.9233342, 11.5830848 50.9232022, 11.5830669 50.9231855, 11.5830457 50.9231703, 11.5830194 50.9231558, 11.582996 50.9231459, 11.5829731 50.9231385)",,"[984662305, 26748956]",,,
32463787,1855280372,False,,,41.462,50,"['Vor dem Neutor', 'Knebelstraße']",2,secondary,,"LINESTRING (11.5838141 50.9239347, 11.5838869 50.9239706, 11.5839574 50.9240008, 11.5840279 50.924027, 11.5843163 50.9241307)",,"[35778737, 26748956]",,,
32463787,196197270,True,,,74.485,50,Erbertstraße,1,residential,,"LINESTRING (11.5838141 50.9239347, 11.5837037 50.9239842, 11.5836361 50.9240138, 11.5833939 50.9240941, 11.5828884 50.9242618)",,"[39915632, 244318083]",,,
32463826,6797639445,False,,,306.37999999999994,50,Rudolstädter Straße,"['4', '5']",secondary,,"LINESTRING (11.5780632 50.901777, 11.578129 50.9016275, 11.5782061 50.9014522, 11.5783537 50.9011194, 11.5785692 50.900678, 11.5787874 50.9002467, 11.5789249 50.8999655, 11.5789545 50.8999049, 11.5790537 50.8997063, 11.5791498 50.8995343, 11.5792101 50.8994407, 11.5792573 50.8993756, 11.5793398 50.8992959, 11.5794069 50.8992385, 11.5794763 50.8991829)",,"[35070854, 6231470, 724813647, 313584281, 313584282, 313584286]",,L 2308,
32463826,260462658,False,,,78.34199999999998,30,An der Ringwiese,,residential,,"LINESTRING (11.5780632 50.901777, 11.5782302 50.9017953, 11.5783857 50.9018007, 11.5784823 50.9018022, 11.5785852 50.901793, 11.5788114 50.9017373, 11.5791308 50.9016493)",,24018099,,,
32463826,335751902,False,,,315.05,50,Winzerlaer Straße,3,secondary,,"LINESTRING (11.5780632 50.901777, 11.577916 50.9017678, 11.5778685 50.901767, 11.5777939 50.9017701, 11.5777429 50.9017722, 11.5773552 50.901788, 11.5771298 50.9018047, 11.5769088 50.9018286, 11.5767498 50.901849, 11.5763642 50.9019117, 11.5759521 50.9019823, 11.575487 50.9020629, 11.5742568 50.9022881, 11.5739953 50.902341, 11.5739151 50.9023593, 11.5737094 50.9024102)",,"[313584304, 35121405, 389043797]",,L 2308,
32463826,1854490523,False,,,199.173,50,Rudolstädter Straße,"['2', '4']",secondary,,"LINESTRING (11.5780632 50.901777, 11.5779905 50.901962, 11.5779789 50.9019902, 11.5776921 50.9026871, 11.5776185 50.9028951, 11.5775144 50.9031864, 11.5774226 50.9035212)",,"[313584288, 35121406, 617824142]",,,
32463829,2535390253,False,,,24.932,50,Lobedaer Straße,2,secondary,,"LINESTRING (11.5799616 50.8987892, 11.5800475 50.8988291, 11.5800903 50.8988502, 11.5801539 50.8988744, 11.5801908 50.8988855, 11.5802291 50.8988934, 11.5802668 50.8988998)",,10369754,,,
32463829,894788741,False,,,22.644,50,Rudolstädter Straße,2,tertiary,,"LINESTRING (11.5799616 50.8987892, 11.5800654 50.8986965, 11.5801423 50.8986205)",,204034445,,,
32463829,6797639445,False,,,55.451,50,Rudolstädter Straße,3,secondary,,"LINESTRING (11.5799616 50.8987892, 11.579843 50.8988852, 11.5794763 50.8991829)",,724813650,,L 2308,
